,China Containerized Freight Index,China Shanghai Containerized Freight Index
2012-06-29,1307.3100,1460.5200
2012-07-06,1314.5600,1421.9400
2012-07-13,1313.8100,1372.5200
2012-07-20,1307.1800,1327.4500
2012-07-27,1284.3100,1327.0800
2012-08-03,1283.6400,1369.5700
2012-08-10,1273.5100,1363.4100
2012-08-17,1262.3200,1370.3600
2012-08-24,1257.0500,1333.6700
2012-08-31,1242.0900,1294.3900
2012-09-07,1226.0400,1267.0200
2012-09-14,1235.1800,1285.6300
2012-09-21,1227.0300,1260.5400
2012-09-28,1214.6200,1247.3400
2012-10-05,1214.6200,
2012-10-12,1187.7200,1202.9600
2012-10-19,1177.7100,1174.8000
2012-10-26,1166.0500,1230.1400
2012-11-02,1159.6200,1251.2000
2012-11-09,1155.9000,1193.6600
2012-11-16,1152.8500,1134.9800
2012-11-23,1144.9800,1077.3400
2012-11-30,1129.9000,1082.8200
2012-12-07,1106.2800,1052.9900
2012-12-14,1101.4600,1171.9800
2012-12-21,1107.5500,1146.6400
2012-12-28,1113.5800,1136.6200
2013-01-04,1109.8900,1148.0800
2013-01-11,1122.3600,1232.3500
2013-01-18,1125.2100,1245.8400
2013-01-25,1132.2700,1227.8400
2013-02-01,1142.4000,1219.3900
2013-02-08,1144.5500,1208.3700
2013-02-15,1144.5500,
2013-02-22,1152.4700,1165.3500
2013-03-01,1134.8200,1117.0400
2013-03-08,1110.7700,1072.8100
2013-03-15,1090.9200,1213.3100
2013-03-22,1107.5500,1156.6300
2013-03-29,1108.2500,1151.4700
2013-04-03,1111.8600,
2013-04-05,1111.8600,1141.2200
2013-04-12,1108.2700,1117.2400
2013-04-19,1097.0600,1086.0400
2013-04-26,1095.3000,1049.0200
2013-05-03,1101.5700,1026.8500
2013-05-10,1082.8200,1009.4800
2013-05-17,1069.9700,990.7800
2013-05-24,1057.9200,991.2500
2013-05-31,1035.0400,1013.7100
2013-06-07,1028.9000,981.7300
2013-06-14,1035.0300,954.8000
2013-06-21,1017.0800,927.5300
2013-06-28,1013.2600,1133.1400
2013-07-05,1034.9100,1118.1300
2013-07-12,1046.7000,1084.4100
2013-07-19,1074.8500,1071.1000
2013-07-26,1087.6700,1088.4500
2013-08-02,1105.2800,1162.7500
2013-08-09,1102.3100,1141.4900
2013-08-16,1132.0100,1117.3200
2013-08-23,1133.0400,1083.9900
2013-08-30,1126.0000,1109.1400
2013-09-06,1125.4400,1071.0300
2013-09-13,1112.1900,1011.6500
2013-09-18,1104.9600,
2013-09-20,1104.9600,990.9700
2013-09-27,1090.6200,936.8900
2013-10-04,1090.6200,
2013-10-11,1039.7200,894.4100
2013-10-18,1010.0700,881.7400
2013-10-25,976.0100,892.4700
2013-11-01,1011.5500,1128.7500
2013-11-08,1013.5200,1090.1600
2013-11-15,1043.7700,1089.3500
2013-11-22,1065.3200,1039.5000
2013-11-29,1066.2200,996.5200
2013-12-06,1055.3400,970.8500
2013-12-13,1046.7800,1117.3000
2013-12-20,1065.9500,1115.2900
2013-12-27,1084.4400,1113.7300
2014-01-03,1098.3700,1176.1200
2014-01-10,1115.5500,1167.5300
2014-01-17,1128.7300,1188.4400
2014-01-24,1148.3700,1173.9900
2014-01-31,1158.1600,1168.2500
2014-02-07,1164.8800,1164.7000
2014-02-14,1170.5900,1094.8300
2014-02-21,1133.9800,1036.8600
2014-02-28,1115.2300,981.0600
2014-03-07,1086.7800,934.3900
2014-03-14,1075.4100,945.3200
2014-03-21,1068.6200,929.4300
2014-03-28,1050.4200,1067.4400
2014-04-04,1069.6600,1064.8700
2014-04-11,1068.0500,1067.4200
2014-04-18,1070.9700,1047.9700
2014-04-25,1068.8900,1068.1800
2014-04-30,1066.2500,
2014-05-02,1066.2500,1143.8700
2014-05-09,1086.1900,1163.0600
2014-05-16,1096.5100,1161.3900
2014-05-23,1097.1800,1115.3600
2014-05-30,1103.5600,1108.6400
2014-06-06,1109.0300,1088.4100
2014-06-13,1102.9800,1075.4300
2014-06-20,1093.4500,1042.8400
2014-06-27,1092.1100,1058.6700
2014-07-04,1097.1200,1129.4200
2014-07-11,1092.0700,1100.1500
2014-07-18,1088.1400,1080.0600
2014-07-25,1092.2400,1060.7500
2014-08-01,1096.4400,1195.3600
2014-08-08,1112.0500,1171.6300
2014-08-15,1109.9600,1120.8200
2014-08-22,1114.0900,1076.4700
2014-08-29,1106.6900,1107.1900
2014-09-05,1121.4800,1133.8500
2014-09-12,1114.5100,1069.1100
2014-09-19,1104.7600,997.2500
2014-09-26,1087.6700,935.8100
2014-10-03,1087.6700,
2014-10-10,1058.7600,911.0300
2014-10-17,1021.0200,962.7200
2014-10-24,1021.0100,967.3100
2014-10-31,1018.2500,1112.0000
2014-11-07,1043.8700,1062.4600
2014-11-14,1040.6200,1050.7200
2014-11-21,1054.9600,1012.6700
2014-11-28,1047.0400,949.6500
2014-12-05,1030.0700,919.0000
2014-12-12,1016.5500,1135.5500
2014-12-19,1036.4100,1120.3300
2014-12-26,1044.9900,1076.6300
2014-12-31,1064.4200,
2015-01-02,1064.4200,1048.8800
2015-01-09,1060.6600,1006.3400
2015-01-16,1059.3000,1055.0900
2015-01-23,1057.4800,1091.4800
2015-01-30,1064.8200,1054.1300
2015-02-06,1065.6900,1087.3200
2015-02-13,1078.6900,1088.2800
2015-02-20,1078.6900,
2015-02-27,1076.2000,1023.0400
2015-03-06,1064.2300,960.2900
2015-03-13,1067.9400,887.6100
2015-03-20,1034.2900,821.3900
2015-03-27,1010.3900,804.5900
2015-04-03,994.8300,763.9500
2015-04-10,969.0600,792.9200
2015-04-17,951.5500,721.6100
2015-04-24,926.8300,702.4600
2015-04-30,898.9700,
2015-05-01,898.9700,761.0200
2015-05-08,888.2300,830.1300
2015-05-15,875.2100,757.6600
2015-05-22,891.6900,676.0500
2015-05-29,890.4200,661.5500
2015-06-05,862.1000,623.4700
2015-06-12,851.4000,581.2500
2015-06-19,825.9700,556.7200
2015-06-26,811.0900,640.6400
2015-07-03,790.6500,745.4500
2015-07-10,804.8000,666.0200
2015-07-17,842.8700,593.2000
2015-07-24,838.7100,548.7700
2015-07-31,818.8500,822.3900
2015-08-07,798.8900,749.6200
2015-08-14,819.6200,745.6000
2015-08-21,844.4200,674.5400
2015-08-28,833.2500,690.3800
2015-09-02,820.9100,
2015-09-04,820.9100,718.9700
2015-09-11,819.8700,673.2500
2015-09-18,827.1600,622.6000
2015-09-25,814.0900,571.9500
2015-10-02,814.0900,
2015-10-09,782.7300,533.9100
